family,n_species,n_species_with_assoc,median_individuals_tested,median_pace_of_life
Cricetidae,247,133,58,-1.21
Muridae,171,44,31,-0.89
Soricidae,62,19,10.5,-1.32
Sciuridae,47,12,15,2.22
Heteromyidae,28,8,45.5,-0.05
Nesomyidae,18,1,6,0.8
Echimyidae,16,1,6,1.82
Talpidae,9,5,11,1.69
Dipodidae,8,1,10.5,0.7
Gliridae,7,2,5,1.04
Caviidae,3,0,7,0.56
Bathyergidae,2,0,4.5,3.03
Geomyidae,2,0,3,0.85
Hystricidae,2,1,11,5.07
Spalacidae,2,0,5,2.11
Thryonomyidae,2,0,1.5,3.27
Castoridae,1,0,20,6.56
Chinchillidae,1,0,50,4.01
Ctenodactylidae,1,0,12,3.46
Erinaceidae,1,0,2,2.19
Myocastoridae,1,0,2,4.3
Octodontidae,1,0,2,2.45
Pedetidae,1,0,8,4.17
