pathogen_species_cleaned,pathogen_family,pathogen_genus_ncbi,n_host_species,n_positive,n_countries
Mammarenavirus whitewaterense,Arenaviridae,Mammarenavirus,30,435,2
Mammarenavirus choriomeningitidis,Arenaviridae,Mammarenavirus,26,614,16
Mammarenavirus choriomeningitidis,Arenaviridae,NA,26,614,16
Mammarenavirus amapariense,Arenaviridae,Mammarenavirus,24,157,2
Mammarenavirus lassaense,Arenaviridae,Mammarenavirus,15,1542,8
Mammarenavirus lassaense,Arenaviridae,NA,15,1542,8
Unclassified Arenaviridae,Arenaviridae,NA,14,118,7
Mammarenavirus wenzhouense,Arenaviridae,Mammarenavirus,13,185,3
Mammarenavirus juninense,Arenaviridae,Mammarenavirus,8,165,2
Mammarenavirus tamiamiense,Arenaviridae,Mammarenavirus,7,215,1
Mammarenavirus caliense,Arenaviridae,Mammarenavirus,6,64,2
Mammarenavirus oliverosense,Arenaviridae,Mammarenavirus,6,114,2
Mammarenavirus guanaritoense,Arenaviridae,Mammarenavirus,6,126,2
Mammarenavirus mopeiaense,Arenaviridae,Mammarenavirus,5,2220,5
Mammarenavirus mopeiaense,Arenaviridae,NA,5,2220,5
Mammarenavirus bearense,Arenaviridae,Mammarenavirus,4,20,1
Mammarenavirus latinum,Arenaviridae,Mammarenavirus,3,70,2
Mammarenavirus piritalense,Arenaviridae,Mammarenavirus,3,52,1
Mammarenavirus tacaribeense,Arenaviridae,Mammarenavirus,3,121,2
Mammarenavirus allpahuayoense,Arenaviridae,Mammarenavirus,2,6,1
Mammarenavirus praomyidis,Arenaviridae,Mammarenavirus,1,7,2
Mammarenavirus praomyidis,Arenaviridae,NA,1,7,2
Mammarenavirus xapuriense,Arenaviridae,Mammarenavirus,1,1,1
Mammarenavirus gairoense,Arenaviridae,Mammarenavirus,1,91,1
Gbagroube virus,Arenaviridae,NA,1,6,1
Menekre virus,Arenaviridae,NA,1,6,1
Mammarenavirus ippyense,Arenaviridae,NA,1,6,1
Mammarenavirus merinoense,Arenaviridae,NA,1,7,2
Mammarenavirus merinoense,Arenaviridae,Mammarenavirus,1,7,2
Mammarenavirus lujoense,Arenaviridae,NA,1,6,1
Mafiga mammarenavirus,Arenaviridae,NA,1,6,1
Mammarenavirus lunaense,Arenaviridae,Mammarenavirus,1,27,2
Mammarenavirus lunkense,Arenaviridae,Mammarenavirus,1,1,1
Mammarenavirus chapareense,Arenaviridae,Mammarenavirus,0,9,1
Mammarenavirus aporeense,Arenaviridae,Mammarenavirus,0,1,1
Mammarenavirus marientalense,Arenaviridae,Mammarenavirus,0,4,1
Mammarenavirus okahandjaense,Arenaviridae,Mammarenavirus,0,4,1
Orthohantavirus sinnombreense,Hantaviridae,Orthohantavirus,87,17310,14
Unclassified Orthohantavirus,Hantaviridae,NA,43,875,13
Unclassified Orthohantavirus,Hantaviridae,Orthohantavirus,43,875,13
Orthohantavirus hantanense,Hantaviridae,Orthohantavirus,40,6701,25
Orthohantavirus andesense,Hantaviridae,Orthohantavirus,30,1311,7
Orthohantavirus puumalaense,Hantaviridae,Orthohantavirus,29,12105,31
Orthohantavirus seoulense,Hantaviridae,Orthohantavirus,28,2453,26
Orthohantavirus dobravaense,Hantaviridae,Orthohantavirus,14,1304,22
Orthohantavirus tulaense,Hantaviridae,Orthohantavirus,14,1239,22
Orthohantavirus prospectense,Hantaviridae,Orthohantavirus,12,436,2
Orthohantavirus delgaditoense,Hantaviridae,Orthohantavirus,12,172,4
Orthohantavirus mamorense,Hantaviridae,Orthohantavirus,10,48,4
Orthohantavirus montanoense,Hantaviridae,Orthohantavirus,9,117,2
Orthohantavirus thailandense,Hantaviridae,Orthohantavirus,7,193,5
Orthohantavirus bayoui,Hantaviridae,Orthohantavirus,6,394,1
Orthohantavirus moroense,Hantaviridae,Orthohantavirus,6,283,1
Orthohantavirus seewisense,Hantaviridae,Orthohantavirus,5,74,9
Ash River virus,Hantaviridae,Orthohantavirus,3,8,1
Orthohantavirus asikkalaense,Hantaviridae,Orthohantavirus,2,2,2
Orthohantavirus dabieshanense,Hantaviridae,Orthohantavirus,2,18,1
Thottimvirus imjinense,Hantaviridae,Thottimvirus,2,108,2
Orthohantavirus maporalense,Hantaviridae,Orthohantavirus,2,40,1
Orthohantavirus khabarovskense,Hantaviridae,Orthohantavirus,2,9,1
Orthohantavirus sangassouense,Hantaviridae,Orthohantavirus,2,2,2
Orthohantavirus asamaense,Hantaviridae,Orthohantavirus,1,3,1
Orthohantavirus tigrayense,Hantaviridae,Orthohantavirus,1,7,1
Orthohantavirus jejuense,Hantaviridae,Orthohantavirus,1,7,1
Thottimvirus thottapalayamense,Hantaviridae,Thottimvirus,1,24,4
Orthohantavirus boweense,Hantaviridae,Orthohantavirus,1,1,1
Orthohantavirus rockportense,Hantaviridae,Orthohantavirus,1,4,1
Orthohantavirus chocloense,Hantaviridae,Orthohantavirus,1,11,2
Orthohantavirus luxiense,Hantaviridae,Orthohantavirus,1,12,1
Orthohantavirus necocliense,Hantaviridae,Orthohantavirus,1,3,1
Orthohantavirus oxbowense,Hantaviridae,Orthohantavirus,1,1,1
Ape Aime-Itapua virus,Hantaviridae,Orthohantavirus,1,1,1
Orthohantavirus nigrorivense,Hantaviridae,Orthohantavirus,1,123,1
Mobatvirus novaense,Hantaviridae,Mobatvirus,1,61,1
Orthohantavirus caobangense,Hantaviridae,Orthohantavirus,1,3,1
