country,bi_class,n,total_cells,pct_area
Uganda,3-3,560,609,92
Slovakia,3-3,86,120,71.7
United Republic of Tanzania,3-3,1620,2360,68.6
Romania,3-3,394,593,66.4
Zambia,3-3,1201,1888,63.6
Zimbabwe,3-3,617,976,63.2
Moldova,3-3,50,83,60.2
Burundi,3-3,42,70,60
Rwanda,3-3,36,62,58.1
Slovenia,3-3,30,52,57.7
Kenya,3-3,850,1482,57.4
Hungary,3-3,129,235,54.9
Burkina Faso,3-3,324,683,47.4
Central African Republic,3-3,691,1555,44.4
Armenia,3-3,33,75,44
Senegal,3-3,190,491,38.7
Republic of the Congo,3-3,319,871,36.6
South Sudan,3-3,552,1559,35.4
Mozambique,3-3,661,1975,33.5
Gambia,3-3,10,30,33.3
Germany,3-3,258,882,29.3
eSwatini,3-3,11,42,26.2
Croatia,3-3,33,133,24.8
Cameroon,3-3,249,1168,21.3
Ukraine,3-3,302,1429,21.1
Mali,3-3,506,2445,20.7
Guinea,3-3,119,611,19.5
South Africa,3-3,590,3053,19.3
Democratic Republic of the Congo,3-3,1099,5848,18.8
Nigeria,3-3,343,2284,15
Bolivia,3-3,389,2733,14.2
Ethiopia,3-3,398,2841,14
Mexico,3-3,657,4874,13.5
Azerbaijan,3-3,28,215,13
Benin,3-3,36,287,12.5
Mongolia,3-3,468,3907,12
Ecuador,3-3,74,620,11.9
Kazakhstan,3-3,677,6736,10.1
France,3-3,137,1567,8.7
Guatemala,3-3,23,268,8.6
Austria,3-3,16,206,7.8
Belgium,3-3,6,77,7.8
Poland,3-3,61,781,7.8
Russia,3-3,2773,39719,7
Angola,3-3,197,3134,6.3
Peru,3-3,186,3074,6.1
Malawi,3-3,18,303,5.9
Switzerland,3-3,6,104,5.8
Niger,3-3,118,2277,5.2
Nepal,3-3,18,371,4.9
Republic of Serbia,3-3,8,189,4.2
Georgia,3-3,7,174,4
Kosovo,3-3,1,28,3.6
Italy,3-3,26,745,3.5
Gabon,3-3,22,648,3.4
Bulgaria,3-3,9,285,3.2
Ghana,3-3,16,602,2.7
Indonesia,3-3,117,4581,2.6
Chad,3-3,47,1993,2.4
Bosnia and Herzegovina,3-3,3,131,2.3
Belarus,3-3,10,516,1.9
North Macedonia,3-3,1,61,1.6
India,3-3,89,7821,1.1
Spain,3-3,14,1246,1.1
Turkey,3-3,20,1941,1
Brazil,3-3,189,21270,0.9
United States of America,3-3,197,22927,0.9
Namibia,3-3,9,1989,0.5
Kyrgyzstan,3-3,2,499,0.4
China,3-3,69,20495,0.3
Argentina,3-3,15,6838,0.2
Somalia,3-3,2,1183,0.2
Botswana,3-3,1,1458,0.1
Egypt,3-3,2,1982,0.1
Iran,3-3,3,4058,0.1
Canada,3-3,1,18245,0
Sudan,3-3,2,4061,0
