Category,Descriptor,Country,Province,District,Mean_Hazard,Mean_Richness
1-3,Low richness / High host probability,Peru,La Libertad,Julcan,0.04232761636376381,8.503350257873535
1-3,Low richness / High host probability,Japan,Kagoshima,Amami,0.04220481961965561,5
1-3,Low richness / High host probability,India,Jharkhand,Dumka,0.04202480986714363,9.965689659118652
1-3,Low richness / High host probability,Argentina,Formosa,Pilagás,0.04183659702539444,11.400190353393555
1-3,Low richness / High host probability,Russia,Murmansk,Monchegorsk gorsovet,0.041676729917526245,6.375802040100098
3-1,High richness / Low host probability,Brazil,Pará,Juruti,0.030059009790420532,23.297285079956055
3-1,High richness / Low host probability,Thailand,Prachuap Khiri Khan,Muang Prachuap Khiri Khan,0.030333513393998146,25.312143325805664
3-1,High richness / Low host probability,Ecuador,Morona Santiago,Taisha,0.0307852141559124,27.109020233154297
3-1,High richness / Low host probability,Indonesia,Bengkulu,Bengkulu,0.030852528288960457,41
3-1,High richness / Low host probability,Malaysia,Sarawak,Miri,0.031048381701111794,47.013206481933594
3-3,High richness / High host probability,Bolivia,Cochabamba,Germán Jordán,0.04138685017824173,27.652109146118164
3-3,High richness / High host probability,México,Oaxaca,Santo Tomás Ocotepec,0.04129861667752266,22.016530990600586
3-3,High richness / High host probability,Peru,Puno,San Antonio de Putina,0.041133780032396317,23.64222526550293
3-3,High richness / High host probability,Kenya,Turkana,Turkana Central,0.04046241194009781,22.06521987915039
3-3,High richness / High host probability,Ecuador,Tungurahua,San Pedro de Pelileo,0.04013573378324509,25.100921630859375
