country,bi_class,n,total_cells,pct_area
Uganda,3-3,544,609,89.3
Burkina Faso,3-3,460,683,67.3
Kenya,3-3,946,1482,63.8
Romania,3-3,373,593,62.9
United Republic of Tanzania,3-3,1482,2360,62.8
Armenia,3-3,46,75,61.3
Slovakia,3-3,70,120,58.3
Zimbabwe,3-3,566,976,58
eSwatini,3-3,24,42,57.1
Hungary,3-3,134,235,57
Zambia,3-3,1059,1888,56.1
Slovenia,3-3,29,52,55.8
Moldova,3-3,45,83,54.2
Central African Republic,3-3,830,1555,53.4
Burundi,3-3,33,70,47.1
Croatia,3-3,58,133,43.6
Germany,3-3,367,882,41.6
South Sudan,3-3,629,1559,40.3
Senegal,3-3,196,491,39.9
Rwanda,3-3,23,62,37.1
Republic of the Congo,3-3,301,871,34.6
Gambia,3-3,10,30,33.3
Mozambique,3-3,596,1975,30.2
Nigeria,3-3,505,2284,22.1
Mali,3-3,669,3145,21.3
Cameroon,3-3,243,1168,20.8
South Africa,3-3,576,3053,18.9
France,3-3,294,1568,18.8
Ethiopia,3-3,530,2841,18.7
Ukraine,3-3,267,1429,18.7
Democratic Republic of the Congo,3-3,996,5848,17
Azerbaijan,3-3,36,215,16.7
Bolivia,3-3,427,2733,15.6
Mongolia,3-3,587,3907,15
Guinea,3-3,90,611,14.7
Bosnia and Herzegovina,3-3,19,131,14.5
Belgium,3-3,11,77,14.3
Nepal,3-3,53,371,14.3
Ecuador,3-3,82,628,13.1
Mexico,3-3,573,4881,11.7
Georgia,3-3,20,174,11.5
Kosovo,3-3,3,28,10.7
Niger,3-3,301,2970,10.1
Austria,3-3,20,206,9.7
Benin,3-3,27,287,9.4
Kazakhstan,3-3,586,6796,8.6
Russia,3-3,3555,41916,8.5
Republic of Serbia,3-3,14,189,7.4
Peru,3-3,231,3242,7.1
Guatemala,3-3,18,268,6.7
Malawi,3-3,20,303,6.6
Belarus,3-3,32,516,6.2
Angola,3-3,169,3135,5.4
Spain,3-3,53,1260,4.2
Italy,3-3,29,745,3.9
Switzerland,3-3,4,104,3.8
Gabon,3-3,19,648,2.9
Chad,3-3,79,2980,2.7
Ghana,3-3,16,602,2.7
India,3-3,146,7896,1.8
Indonesia,3-3,78,4619,1.7
Turkey,3-3,33,1942,1.7
North Macedonia,3-3,1,61,1.6
Czechia,3-3,3,201,1.5
Bulgaria,3-3,3,285,1.1
Poland,3-3,7,781,0.9
Brazil,3-3,165,21275,0.8
United States of America,3-3,129,23065,0.6
Kyrgyzstan,3-3,2,499,0.4
China,3-3,60,23476,0.3
Iran,3-3,14,4058,0.3
Argentina,3-3,16,6964,0.2
Egypt,3-3,6,2486,0.2
Sudan,3-3,11,4679,0.2
Namibia,3-3,3,2059,0.1
Canada,3-3,3,22329,0
Mauritania,3-3,1,2604,0
