GID_2,n_hosts,predicted,log_residual,type,COUNTRY,NAME_1,NAME_2,realm
ARG.4.2_1,5083,97.9233954173556,1.7109065273415793,Hotspot (Oversampled),Argentina,Chubut,Cushamen,Neotropic
ARG.14.9_1,719,22.40850208225658,1.4879588724921802,Hotspot (Oversampled),Argentina,Misiones,Iguazú,Neotropic
ARG.15.7_1,992,25.377287998648676,1.575719107314159,Hotspot (Oversampled),Argentina,Neuquén,Huiliches,Neotropic
ARG.16.3_1,2290,51.07407679193456,1.6434035099977957,Hotspot (Oversampled),Argentina,Río Negro,Bariloche,Neotropic
ARG.21.4_1,8502,46.9315482717556,2.2489507213966773,Hotspot (Oversampled),Argentina,Santa Fe,Constitución,Neotropic
BEL.3.3_1,0,551.5871777320154,-2.742400803300655,Coldspot (Undersampled),Belgium,Wallonie,Liège,Palearctic-West
BGR.11.1_1,131,1.2933487384214963,1.7601038303982954,Hotspot (Oversampled),Bulgaria,Pazardzhik,Batak,Palearctic-West
BGR.11.6_1,391,3.9669672929298296,1.8971947668091802,Hotspot (Oversampled),Bulgaria,Pazardzhik,Pazardzhik,Palearctic-West
BGR.11.7_1,194,0.6342817977562442,2.076707667698111,Hotspot (Oversampled),Bulgaria,Pazardzhik,Peshtera,Palearctic-West
BGR.20.4_1,224,1.130070947999782,2.0237884490333498,Hotspot (Oversampled),Bulgaria,Smolyan,Devin,Palearctic-West
BRA.8.64_2,126,2.2808761008832747,1.5878138909718325,Hotspot (Oversampled),Brazil,Espírito Santo,Santa Teresa,Neotropic
BRA.10.12_2,104,1.7153999690943234,1.5873554903469365,Hotspot (Oversampled),Brazil,Maranhão,Anajatuba,Neotropic
BRA.12.22_2,459,11.104455491056441,1.579812573843378,Hotspot (Oversampled),Brazil,Mato Grosso,Campo Novo do Parecis,Neotropic
BRA.11.22_2,143,4.026000145090954,1.4571399953014463,Hotspot (Oversampled),Brazil,Mato Grosso do Sul,Cassilândia,Neotropic
BRA.13.825_2,765,20.637532503599644,1.5490210363575483,Hotspot (Oversampled),Brazil,Minas Gerais,Uberlândia,Neotropic
BRA.16.57_2,90,2.1281114580393496,1.463759173269258,Hotspot (Oversampled),Brazil,Paraná,Campina Grande do Sul,Neotropic
BRA.16.125_2,1411,1.5800139900382484,2.7382126357990897,Hotspot (Oversampled),Brazil,Paraná,General Carneiro,Neotropic
BRA.16.159_2,74,0.720601178800216,1.63938104728763,Hotspot (Oversampled),Brazil,Paraná,Itambaracá,Neotropic
BRA.16.282_2,45,0.4101899487123824,1.5134802168123311,Hotspot (Oversampled),Brazil,Paraná,Porto Rico,Neotropic
BRA.17.176_2,218,0.5685891938350813,2.144934896053054,Hotspot (Oversampled),Brazil,Pernambuco,Triunfo,Neotropic
BRA.19.83_2,223,2.438242822778198,1.8139114732464579,Hotspot (Oversampled),Brazil,Rio de Janeiro,Silva Jardim,Neotropic
BRA.24.133_2,1545,0.6568217687151506,2.9699336975339694,Hotspot (Oversampled),Brazil,Santa Catarina,Jaborá,Neotropic
BRA.25.125_2,51,0.7499138384262956,1.472986678044059,Hotspot (Oversampled),Brazil,São Paulo,Cássia dos Coqueiros,Neotropic
BRA.25.173_2,412,2.047255508294343,2.132041180896145,Hotspot (Oversampled),Brazil,São Paulo,Espírito Santo do Pinhal,Neotropic
BRA.25.204_2,560,1.6838467631563145,2.3202051455175776,Hotspot (Oversampled),Brazil,São Paulo,Guará,Neotropic
BRA.25.213_2,195,1.614367758642626,1.8748893923525085,Hotspot (Oversampled),Brazil,São Paulo,Guariba,Neotropic
BRA.25.420_2,145,1.975053191093589,1.6908581208822477,Hotspot (Oversampled),Brazil,São Paulo,Pedreira,Neotropic
BRA.25.579_2,414,5.00592761210608,1.8394680032567794,Hotspot (Oversampled),Brazil,São Paulo,Sertãozinho,Neotropic
BRA.25.620_2,124,0.7279094232580047,1.8593890399174031,Hotspot (Oversampled),Brazil,São Paulo,Tupi Paulista,Neotropic
CAF.1.2_1,0,818.9683028239314,-2.9137970643657574,Coldspot (Undersampled),Central African Republic,Bamingui-Bangoran,Ndélé,Afrotropic
