Type,Parameter,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
Fixed Effects,Intercept,-5.0292256709816465,0.24506513966649923,-5.503540238143025,-4.539735037417887,1.0054334813358965,675.5956836362561,1149.5120355441081
Fixed Effects,zi_Intercept,-5.041303968902904,1.7846681674009222,-8.806899218217552,-1.5312922903801676,1.0127841070414125,581.8181843522872,434.71058401248433
Fixed Effects,s_pop,0.21492665995410795,0.16512817092305265,-0.11092263832780863,0.5289465858098384,1.0004022222723277,1834.6811922280542,2512.631917407965
Fixed Effects,s_light,0.5007837992526295,0.17396070969036284,0.17094102492093952,0.852736119473266,1.0002284820256504,1620.7500963747998,1933.0035770963373
Fixed Effects,s_access,-0.48489068359745763,0.15037706430113415,-0.7667584517639675,-0.18448678806123772,1.0004693535568643,1814.772750673829,2252.37091831233
Fixed Effects,s_richness,-0.08790745228768328,0.09729670605483327,-0.2709006627237054,0.1097982625886491,1.0000131012731088,2339.3998059767223,2875.693742779384
Fixed Effects,zi_s_pop,1.0397086092258918,0.5322603244974766,0.11603711125217565,2.151837751779124,1.005418330180709,1334.0277649070065,1598.3460420794274
Fixed Effects,zi_s_light,-5.0755408145810526,2.107753531328231,-9.521521144574638,-1.2722407141160201,1.0106236278788705,659.0639513244607,515.9399697282682
Fixed Effects,zi_s_access,-1.9908958512433734,0.6977884914919096,-3.5405721840572393,-0.836538379076958,1.0079933225633135,776.166866418271,1103.5835508216069
Fixed Effects,zi_s_richness,-0.6837573043585373,0.31671613085744577,-1.3608145108870666,-0.1029670918818312,1.0077783391829105,851.5408600080082,824.6626079695857
Variance Components,sd_GID_0,1.8990403174603638,0.19519851838171057,1.5424288233813959,2.305575879751834,1.0022442990137739,942.3437523502502,1601.8107095903556
Distributional Parameters,shape,0.006975807574256129,4.4374569470302997e-4,0.006418491790124193,0.00811392432294557,1.007895997543558,793.1948056462784,446.02729915491324
